Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec
9,4070,LightGBM,Training,2025-12-03 08:16:38.285945,2025-12-03 08:18:57.485741,139.19978284835815
9,4070,LightGBM,Inference,2025-12-03 08:18:57.485754,2025-12-03 08:19:00.947402,3.4616401195526123
9,4070,CatBoost,Training,2025-12-03 08:19:05.597161,2025-12-03 08:32:39.467585,813.8704097270966
9,4070,CatBoost,Inference,2025-12-03 08:32:39.467597,2025-12-03 08:32:42.892842,3.4252350330352783
9,4070,Ensemble_Stacking,Training,2025-12-03 08:32:47.136061,2025-12-03 10:23:00.789272,6613.653190135956
9,4070,Ensemble_Stacking,Inference,2025-12-03 10:23:00.789301,2025-12-03 10:23:12.593005,11.803695678710938
10,2794,Dummy,Training,2025-12-03 10:24:10.630263,2025-12-03 10:24:11.250497,0.6202101707458496
10,2794,Dummy,Inference,2025-12-03 10:24:11.250511,2025-12-03 10:24:11.263830,0.01331329345703125
10,2794,KNN,Training,2025-12-03 10:24:15.223301,2025-12-03 10:24:16.734534,1.5112195014953613
10,2794,KNN,Inference,2025-12-03 10:24:16.734549,2025-12-03 11:48:39.746533,5063.011975765228
10,2794,DecisionTree,Training,2025-12-03 11:48:43.807559,2025-12-03 11:49:56.435195,72.62762117385864
10,2794,DecisionTree,Inference,2025-12-03 11:49:56.435227,2025-12-03 11:49:56.714814,0.2795555591583252
10,2794,RandomForest,Training,2025-12-03 11:50:00.832233,2025-12-03 11:53:07.326380,186.49413132667542
10,2794,RandomForest,Inference,2025-12-03 11:53:07.326393,2025-12-03 11:53:09.657078,2.330676555633545
10,2794,XGBoost,Training,2025-12-03 11:53:13.758941,2025-12-03 11:57:46.265173,272.5062153339386
10,2794,XGBoost,Inference,2025-12-03 11:57:46.265188,2025-12-03 11:57:47.705971,1.4407753944396973
10,2794,LightGBM,Training,2025-12-03 11:57:52.273188,2025-12-03 12:00:12.237521,139.96432065963745
10,2794,LightGBM,Inference,2025-12-03 12:00:12.237537,2025-12-03 12:00:15.721728,3.4841818809509277
10,2794,CatBoost,Training,2025-12-03 12:00:20.402750,2025-12-03 12:13:48.813777,808.4110136032104
10,2794,CatBoost,Inference,2025-12-03 12:13:48.813794,2025-12-03 12:13:52.304838,3.4910354614257812
10,2794,Ensemble_Stacking,Training,2025-12-03 12:13:56.561164,2025-12-03 14:03:28.337797,6571.776611328125
10,2794,Ensemble_Stacking,Inference,2025-12-03 14:03:28.337820,2025-12-03 14:03:40.047010,11.709181308746338
